Nome da Nota,Data da Última Modificação,Data da Nota,Tags,Contagem de Palavras,Links,Caminho da Nota
Método da Soma e Produto,2025-07-02 20:08:13,2025-07-02,Matemática,1525,6,01 - Progetos\Matemática\Método da Soma e Produto.md
Sem título,2025-01-02 01:11:37,,,54,0,01 - Progetos\Matemática\Sem título.md
Fundamentos da matemática elementar V1,2024-11-09 17:58:22,,,17,1,01 - Progetos\Matemática\Volume 1\Fundamentos da matemática elementar V1.md
Negação(~),2024-10-25 00:53:34,2024-10-25,Matemática,43,2,01 - Progetos\Matemática\Volume 1\Negação(~).md
Proposição composta,2024-11-09 18:15:36,2024-11-09,data: 2024-11-09,50,1,01 - Progetos\Matemática\Volume 1\Proposição composta.md
Proposição,2024-10-25 00:44:52,2024-10-25,Matemática,188,7,01 - Progetos\Matemática\Volume 1\Proposição.md
Variáveis,2024-11-11 21:14:26,2024-11-11,Programação,40,2,01 - Progetos\Matemática\Volume 1\Variáveis.md
Dificuldades,2025-08-21 02:11:47,2025-08-21,data: 2025-08-21,128,0,01 - Progetos\NLP\BDL\Dificuldades.md
Ideias,2025-08-17 20:57:26,2025-08-17,data: 2025-08-17,151,1,01 - Progetos\NLP\BDL\Ideias.md
N-gramas,2025-08-17 20:59:10,2025-08-17,data: 2025-08-17,21,0,01 - Progetos\NLP\BDL\N-gramas.md
1 fase,2025-08-11 01:41:08,2025-08-02,data: 2025-08-02,274,0,01 - Progetos\NLP\POMI\IA\1 fase.md
Análise Teórica de Métodos para um Novo Sistema NLU,2025-07-27 19:23:56,2025-07-26,data: 2025-07-26,6668,36,01 - Progetos\NLP\POMI\IA\Análise Teórica de Métodos para um Novo Sistema NLU.md
Melhorar a NLU,2025-07-24 15:16:16,2025-07-22,data: 2025-07-22,150,0,01 - Progetos\NLP\POMI\IA\Melhorar a NLU.md
Multi tarefa vx Hierarchical Intent Classification,2025-07-24 16:59:39,,,0,0,01 - Progetos\NLP\POMI\IA\Multi tarefa vx Hierarchical Intent Classification.md
NLU Spacy,2025-07-21 02:21:34,2025-07-20,data: 2025-07-20,71,0,01 - Progetos\NLP\POMI\IA\NLU Spacy.md
Norte - nlu,2025-08-02 19:02:47,2025-07-27,data: 2025-07-27,228,0,01 - Progetos\NLP\POMI\IA\Norte - nlu.md
Prompt,2025-08-11 01:49:33,,,501,0,01 - Progetos\NLP\POMI\IA\Prompt.md
Algoritmos de memorização,2024-08-17 19:36:45,2024-08-17,Aprendizado,10,1,01 - Progetos\Outros\Algoritmos de memorização.md
Breu,2024-04-24 19:28:59,2024-04-24,data: 2024-04-24,34,1,01 - Progetos\Outros\Breu.md
Como eu estudo,2024-08-22 22:47:54,2024-08-21,Aprendizado,83,2,01 - Progetos\Outros\Como eu estudo.md
Hidro-semeadura,2024-04-20 22:27:36,,,0,0,01 - Progetos\Outros\Hidro-semeadura.md
Leitura do Coruja,2024-12-31 01:25:13,2024-04-30,Sociologia,34,1,01 - Progetos\Outros\Leitura do Coruja.md
Major System,2024-08-17 19:57:31,2024-08-17,Aprendizado,171,0,01 - Progetos\Outros\Major System.md
Outros,2025-09-18 19:01:40,,,154,58,01 - Progetos\Outros\Outros.md
Palavriômetro Executivo,2025-01-28 12:43:29,2025-01-28,data: 2025-01-28,168,0,01 - Progetos\Outros\Palavriômetro Executivo.md
Palácio da memória,2024-08-17 19:50:54,2024-08-17,Aprendizado,137,1,01 - Progetos\Outros\Palácio da memória.md
Poesia em monte Carlo,2025-01-28 12:52:57,2025-01-28,data: 2025-01-28,91,0,01 - Progetos\Outros\Poesia em monte Carlo.md
RGB,2024-04-09 11:22:35,2024-04-09,Eletrônica,45,1,01 - Progetos\Outros\RGB.md
Plano inicial,2024-05-23 01:42:19,2024-05-23,data: 2024-05-23,45,0,01 - Progetos\Outros\Bike\Plano inicial.md
Suplementos,2024-06-30 18:45:36,2024-06-24,data: 2024-06-24,111,1,01 - Progetos\Outros\Bike\Suplementos.md
Zonas,2024-12-31 01:25:46,2024-06-22,bike,180,2,01 - Progetos\Outros\Bike\Zonas.md
Perguntas Abertas,2023-11-03 11:38:07,,,33,0,01 - Progetos\Outros\Brinco\Perguntas Abertas.md
corrente,2024-04-25 01:01:47,2024-04-25,Eletrônica,26,2,01 - Progetos\Outros\Eletrônica\corrente.md
Current sink,2024-05-25 21:00:23,2024-05-25,Eletrônica,19,2,01 - Progetos\Outros\Eletrônica\Current sink.md
Current source,2024-05-25 21:00:33,2024-05-25,Eletrônica,19,2,01 - Progetos\Outros\Eletrônica\Current source.md
Integração dos componentes,2024-04-19 23:40:16,,#Eletrônica,59,6,01 - Progetos\Outros\Eletrônica\Integração dos componentes.md
Kirchhoff,2024-04-14 22:17:50,2024-04-14,Eletrônica,27,2,01 - Progetos\Outros\Eletrônica\Kirchhoff.md
lei de kirchhoff das tensões,2024-04-18 12:03:35,2024-04-14,Eletrônica,29,3,01 - Progetos\Outros\Eletrônica\lei de kirchhoff das tensões.md
lei de ohm,2024-04-14 21:41:23,2024-04-07,Eletrônica,16,4,01 - Progetos\Outros\Eletrônica\lei de ohm.md
Metas,2024-05-29 23:44:56,,#Eletrônica #Planejamento,85,7,01 - Progetos\Outros\Eletrônica\Metas.md
ohms,2024-04-16 00:31:58,2024-04-16,Eletrônica,31,1,01 - Progetos\Outros\Eletrônica\ohms.md
Resistor de pull up,2024-05-27 21:27:00,2024-05-27,Eletrônica,31,3,01 - Progetos\Outros\Eletrônica\Resistor de pull up.md
resistores de leds,2024-04-14 20:42:51,2024-04-08,Eletrônica,242,15,01 - Progetos\Outros\Eletrônica\resistores de leds.md
Resistência,2024-04-18 12:09:30,2024-04-16,Eletrônica,33,2,01 - Progetos\Outros\Eletrônica\Resistência.md
tenção,2024-04-25 00:50:38,2024-04-16,Eletrônica,92,4,01 - Progetos\Outros\Eletrônica\tenção.md
TRI-STATE,2024-05-25 20:51:45,2024-05-25,Eletrônica,58,4,01 - Progetos\Outros\Eletrônica\TRI-STATE.md
"CRISTAL OSCILADOR EXTERNO, POLLING Curso de PIC 005",2024-06-09 00:05:33,2024-04-28,Eletrônica,150,9,"01 - Progetos\Outros\Eletrônica\01 - Notas\CRISTAL OSCILADOR EXTERNO, POLLING Curso de PIC 005.md"
ENTRADAS DIGITAIS  Curso de PIC 004,2024-06-08 21:58:01,2024-04-28,Eletrônica,187,19,01 - Progetos\Outros\Eletrônica\01 - Notas\ENTRADAS DIGITAIS  Curso de PIC 004.md
"FUSÍVEIS, DATASHEET, SOFTWARE DE SIMULAÇÃO",2024-05-25 20:03:52,2024-04-28,Eletrônica,378,24,"01 - Progetos\Outros\Eletrônica\01 - Notas\FUSÍVEIS, DATASHEET, SOFTWARE DE SIMULAÇÃO.md"
GRAVANDO O PRIMEIRO PIC 12F675  Curso de PIC 003,2024-05-27 21:36:13,2024-04-28,Eletrônica,234,21,01 - Progetos\Outros\Eletrônica\01 - Notas\GRAVANDO O PRIMEIRO PIC 12F675  Curso de PIC 003.md
INTRODUÇÃO PIC16F84A Curso de PIC,2024-05-25 20:59:58,2024-04-28,Eletrônica,143,17,01 - Progetos\Outros\Eletrônica\01 - Notas\INTRODUÇÃO PIC16F84A Curso de PIC.md
Bobina ou Indutor,2024-04-22 00:09:49,2024-04-17,Eletrônica,145,24,01 - Progetos\Outros\Eletrônica\Componentes\Bobina ou Indutor.md
Capacitor,2024-04-18 12:12:52,2024-04-17,Eletrônica,120,19,01 - Progetos\Outros\Eletrônica\Componentes\Capacitor.md
Chaves com memória,2024-05-03 22:12:01,2024-05-03,Eletrônica,41,1,01 - Progetos\Outros\Eletrônica\Componentes\Chaves com memória.md
Chaves Momentâneas,2024-05-03 22:05:09,2024-05-03,Eletrônica,33,0,01 - Progetos\Outros\Eletrônica\Componentes\Chaves Momentâneas.md
Chaves,2024-05-03 22:11:04,2024-05-03,Eletrônica,49,6,01 - Progetos\Outros\Eletrônica\Componentes\Chaves.md
componente,2024-07-15 01:09:02,2024-04-16,Eletrônica,63,17,01 - Progetos\Outros\Eletrônica\Componentes\componente.md
diodo,2024-05-03 21:40:00,2024-04-27,Eletrônica,185,24,01 - Progetos\Outros\Eletrônica\Componentes\diodo.md
EEPROM,2024-05-27 20:20:37,2024-05-25,Eletrônica,36,4,01 - Progetos\Outros\Eletrônica\Componentes\EEPROM.md
LED,2024-04-14 21:38:41,2024-04-09,Eletrônica,20,2,01 - Progetos\Outros\Eletrônica\Componentes\LED.md
Memória,2024-05-27 20:17:49,2024-05-27,Eletrônica,44,10,01 - Progetos\Outros\Eletrônica\Componentes\Memória.md
Resistor,2024-12-31 01:37:16,2024-04-14,Eletrônica,79,18,01 - Progetos\Outros\Eletrônica\Componentes\Resistor.md
Sensores,2024-12-31 01:37:19,2024-05-08,Eletrônica,114,9,01 - Progetos\Outros\Eletrônica\Componentes\Sensores.md
Solda,2024-04-18 12:06:34,2024-04-16,Eletrônica,101,5,01 - Progetos\Outros\Eletrônica\Componentes\Solda.md
Terra,2024-04-25 00:52:00,2024-04-25,Eletrônica,53,1,01 - Progetos\Outros\Eletrônica\Componentes\Terra.md
Transistor,2024-05-03 23:43:12,2024-04-30,Eletrônica,102,21,01 - Progetos\Outros\Eletrônica\Componentes\Transistor.md
Comandos,2024-12-31 01:26:06,2024-05-15,Eletrônica,28,1,01 - Progetos\Outros\Eletrônica\Proteus\Comandos.md
Pick devices,2024-12-31 01:37:53,2024-05-15,Eletrônica,40,8,01 - Progetos\Outros\Eletrônica\Proteus\Pick devices.md
Metas,2024-12-31 01:26:21,2024-05-07,Maker,28,1,01 - Progetos\Outros\Maker\Metas.md
Papel alumínio,2024-12-31 01:26:24,2024-05-07,Maker,68,5,01 - Progetos\Outros\Maker\Materiais\Papel alumínio.md
PVC,2024-12-31 01:26:27,2024-05-07,Maker,48,3,01 - Progetos\Outros\Maker\Materiais\PVC.md
Super cola,2024-05-07 21:07:49,2024-05-07,Maker,31,2,01 - Progetos\Outros\Maker\Materiais\Super cola.md
Coisas a fazer,2024-07-12 21:53:08,,,23,0,01 - Progetos\Outros\Vida\Coisas a fazer.md
Exercicios,2024-09-05 18:05:24,2024-08-17,data: 2024-08-17,281,3,01 - Progetos\Outros\Vida\Exercicios.md
Vida 1,2024-08-08 20:13:06,,,0,0,01 - Progetos\Outros\Vida\Vida 1.md
Acentuação,2024-09-21 23:16:08,,#Português #fonologia,237,9,01 - Progetos\Português\Acentuação.md
Adjetivo,2023-11-02 10:40:21,,#Português #Classes_de_palavras,3,0,01 - Progetos\Português\Adjetivo.md
Artigo,2023-11-02 10:34:00,,#Português #Classes_de_palavras,134,9,01 - Progetos\Português\Artigo.md
Classe de palavras,2023-10-25 19:02:03,,#Português #Morfologia,37,10,01 - Progetos\Português\Classe de palavras.md
Classificação das consoantes,2023-10-06 10:40:36,,#Português #fonologia,35,4,01 - Progetos\Português\Classificação das consoantes.md
Classificação das vogais,2023-09-28 23:15:23,,#fonologia #Português,34,4,01 - Progetos\Português\Classificação das vogais.md
Composição,2023-10-17 10:31:09,,#Português #ortografia,95,1,01 - Progetos\Português\Composição.md
Dissílaba,2023-10-21 11:41:20,,#Português #fonologia,19,1,01 - Progetos\Português\Dissílaba.md
Ditongo,2023-10-02 10:17:31,,#Português #fonologia,99,10,01 - Progetos\Português\Ditongo.md
dupla prosódia,2023-10-01 20:02:34,,#Português #fonologia,110,0,01 - Progetos\Português\dupla prosódia.md
Dígrafo,2023-09-28 10:21:00,,#fonologia #Português,30,2,01 - Progetos\Português\Dígrafo.md
Dígrafos consonantais,2023-09-28 10:29:25,,#fonologia #Português,63,0,01 - Progetos\Português\Dígrafos consonantais.md
Dígrafos vocálicos,2023-09-28 10:20:54,,#fonologia #Português,52,0,01 - Progetos\Português\Dígrafos vocálicos.md
Emprego do E,2023-10-14 10:48:52,,#Português #ortografia,105,3,01 - Progetos\Português\Emprego do E.md
Emprego do G,2023-10-14 10:29:02,,#Português #ortografia,95,1,01 - Progetos\Português\Emprego do G.md
Emprego do H,2024-04-24 00:35:46,,#Português #ortografia,243,8,01 - Progetos\Português\Emprego do H.md
Emprego do Hífen,2023-10-17 10:07:02,,#Português #ortografia,3,0,01 - Progetos\Português\Emprego do Hífen.md
Emprego do I,2023-10-14 11:16:16,,#Português #ortografia,110,3,01 - Progetos\Português\Emprego do I.md
Emprego do J,2023-10-13 10:51:42,,#Português #ortografia,106,0,01 - Progetos\Português\Emprego do J.md
Emprego do S,2024-04-24 00:35:46,,#Português #ortografia,308,3,01 - Progetos\Português\Emprego do S.md
Emprego do SC,2024-04-24 00:35:46,,#Português #ortografia,179,5,01 - Progetos\Português\Emprego do SC.md
Emprego do SS,2023-10-12 11:20:41,,#Português #ortografia,161,0,01 - Progetos\Português\Emprego do SS.md
Emprego do X ou CH,2023-10-16 20:36:45,,#Português #ortografia,197,4,01 - Progetos\Português\Emprego do X ou CH.md
Emprego do XC,2023-10-17 09:46:12,,,68,1,01 - Progetos\Português\Emprego do XC.md
Emprego do Z,2023-10-12 11:10:33,,#Português #ortografia,230,6,01 - Progetos\Português\Emprego do Z.md
Emprego do Ç,2023-10-12 11:31:07,,,133,3,01 - Progetos\Português\Emprego do Ç.md
Encontros consonantais,2023-10-06 11:06:56,,#fonologia #Português,186,8,01 - Progetos\Português\Encontros consonantais.md
Encontros vocálicos,2023-10-02 10:29:11,,#Português #fonologia,24,4,01 - Progetos\Português\Encontros vocálicos.md
Fonemas consonantais,2023-09-28 10:42:40,,#Português #fonologia,76,0,01 - Progetos\Português\Fonemas consonantais.md
Fonemas vocálicos,2023-09-28 10:35:47,,#Português #fonologia,46,0,01 - Progetos\Português\Fonemas vocálicos.md
fonemas,2023-09-28 10:49:01,,#fonologia #Português,43,0,01 - Progetos\Português\fonemas.md
Fonologia,2023-09-28 10:20:51,,#fonologia #Português,10,1,01 - Progetos\Português\Fonologia.md
Formas variante,2023-10-17 09:48:28,,#Português #ortografia,90,0,01 - Progetos\Português\Formas variante.md
Formação de palavras,2024-05-05 00:17:41,,#Português,114,9,01 - Progetos\Português\Formação de palavras.md
Hiato,2023-10-06 23:27:43,,#Português #fonologia,23,2,01 - Progetos\Português\Hiato.md
Homônimos,2023-10-17 09:57:26,,#Português #ortografia,242,0,01 - Progetos\Português\Homônimos.md
Interpretação x Compreender,2023-10-25 19:18:25,,#Português,204,13,01 - Progetos\Português\Interpretação x Compreender.md
Monossílaba,2023-10-01 22:46:51,,#Português #fonologia,26,3,01 - Progetos\Português\Monossílaba.md
Nasal,2023-10-02 10:01:00,,#Português #fonologia,49,1,01 - Progetos\Português\Nasal.md
Oral,2023-10-02 09:59:47,,#Português #fonologia,28,1,01 - Progetos\Português\Oral.md
Ortografia,2023-10-17 10:02:09,,#Português #ortografia,341,17,01 - Progetos\Português\Ortografia.md
Ortoépia,2024-12-04 21:40:07,,#Português #fonologia,47,0,01 - Progetos\Português\Ortoépia.md
Oxítonas,2023-09-30 10:54:54,,#Português #fonologia,23,0,01 - Progetos\Português\Oxítonas.md
Palavras de uma mesma família,2023-10-14 11:18:11,,#Português #ortografia,70,0,01 - Progetos\Português\Palavras de uma mesma família.md
Palavras derivadas,2023-10-14 10:03:32,,,0,0,01 - Progetos\Português\Palavras derivadas.md
Paroxítonas,2023-09-30 10:48:05,,#Português #fonologia,22,0,01 - Progetos\Português\Paroxítonas.md
Parônimos,2023-10-17 09:55:27,,#Português #ortografia,290,0,01 - Progetos\Português\Parônimos.md
Polissílaba,2023-09-28 23:45:04,,#Português #fonologia,28,1,01 - Progetos\Português\Polissílaba.md
prefixo,2023-10-14 10:48:55,,,0,0,01 - Progetos\Português\prefixo.md
Primeira leitura,2023-10-25 17:45:00,,#Português,16,1,01 - Progetos\Português\Primeira leitura.md
Proparoxítonas,2023-09-30 10:48:17,,#Português #fonologia,24,0,01 - Progetos\Português\Proparoxítonas.md
Prosódia,2023-10-01 20:11:54,,#Português #fonologia,178,6,01 - Progetos\Português\Prosódia.md
Quanto ao papel,2023-09-28 23:18:20,,#Português #fonologia,62,0,01 - Progetos\Português\Quanto ao papel.md
Quanto ao timbre,2023-09-28 23:14:45,,#Português #fonologia,54,0,01 - Progetos\Português\Quanto ao timbre.md
Quanto à intensidade,2023-09-28 23:21:16,,#Português #fonologia,33,0,01 - Progetos\Português\Quanto à intensidade.md
Quanto à zona de articulação,2023-09-28 23:11:30,,#Português #fonologia,54,0,01 - Progetos\Português\Quanto à zona de articulação.md
Segunda leitura,2023-10-25 17:52:44,,,20,7,01 - Progetos\Português\Segunda leitura.md
Semivogal,2023-10-02 09:56:41,,#Português #fonologia,40,2,01 - Progetos\Português\Semivogal.md
silabada,2023-10-01 19:47:27,,#Português #fonologia,18,1,01 - Progetos\Português\silabada.md
Substantivo,2023-11-02 10:17:51,,#Português #Classes_de_palavras,87,4,01 - Progetos\Português\Substantivo.md
Sílaba tônica,2023-10-07 10:08:35,,#Português #fonologia,117,6,01 - Progetos\Português\Sílaba tônica.md
Sílaba,2023-09-30 10:19:18,,#Português #fonologia,82,7,01 - Progetos\Português\Sílaba.md
Translineação,2023-10-06 10:47:09,,#Português #fonologia,578,22,01 - Progetos\Português\Translineação.md
Trissílaba,2023-09-28 23:44:14,,#Português #fonologia,21,1,01 - Progetos\Português\Trissílaba.md
Tritongo,2023-10-02 10:28:10,,#Português #fonologia,84,3,01 - Progetos\Português\Tritongo.md
Tônicos,2023-10-01 22:53:04,,#Português #fonologia,24,0,01 - Progetos\Português\Tônicos.md
Átonos,2023-10-01 22:50:47,,#Português #fonologia,25,0,01 - Progetos\Português\Átonos.md
mineração de dado,2024-10-01 19:09:14,2024-10-01,DataAnalyst,55,0,01 - Progetos\zData Analyst\mineração de dado.md
Site com dados.,2025-02-12 20:40:27,2025-02-12,data: 2025-02-12,22,1,01 - Progetos\zData Analyst\Site com dados..md
Sites,2024-08-24 00:29:46,2024-08-24,data: 2024-08-24,9,2,01 - Progetos\zData Analyst\Sites.md
Voluntário,2025-06-17 16:02:49,,,4,0,01 - Progetos\zData Analyst\Voluntário.md
Dúvidas,2025-05-01 18:20:08,2025-05-01,data: 2025-05-01,112,0,01 - Progetos\zData Analyst\0 Oque fazer\Dúvidas.md
