Nome da Nota,Data da Última Modificação,Data da Nota,Tags,Contagem de Palavras,Links
Months and Seasons,2024-12-02 00:22:34,2024-12-01,"Word
data",161,0
noon,2024-11-22 18:15:52,2024-11-22,"Word
data",11,0
Numbers,2024-12-08 23:47:27,2024-12-03,"Word
data",268,0
Não sei,2024-12-29 00:35:28,2024-11-29,"Inglês
data",17,0
Conjunto dos inteiros,2023-09-29 23:31:25,,,162,0
Conjunto dos Irracionais,2023-10-03 10:31:33,,,91,0
Conjunto dos Racionais,2023-09-29 23:45:07,,,182,0
Conjunto dos reais,2023-09-29 23:34:58,,,162,0
Conjuntos dos naturais,2023-09-29 23:31:16,,,130,2
Conjuntos numéricos,2024-04-21 22:40:53,,,51,5
Sem título,2024-10-25 00:13:56,,,54,0
Fundamentos da matemática elementar V1,2024-11-09 17:58:22,,,17,1
Negação(~),2024-10-25 00:53:34,2024-10-25,Matemática,43,2
Proposição composta,2024-11-09 18:15:36,2024-11-09,,50,1
Proposição,2024-10-25 00:44:52,2024-10-25,Matemática,188,7
Variáveis,2024-11-11 21:14:26,2024-11-11,Programação,40,2
Algoritmos de memorização,2024-08-17 19:36:45,2024-08-17,Aprendizado,10,1
Breu,2024-04-24 19:28:59,2024-04-24,,34,1
Como eu estudo,2024-08-22 22:47:54,2024-08-21,"Aprendizado
data",83,2
Hidro-semeadura,2024-04-20 22:27:36,,,0,0
Leitura do Coruja,2024-04-30 00:44:42,2024-04-30,,34,1
Major System,2024-08-17 19:57:31,2024-08-17,Aprendizado,171,0
Palácio da memória,2024-08-17 19:50:54,2024-08-17,Aprendizado,137,1
RGB,2024-04-09 11:22:35,2024-04-09,Eletrônica,45,1
Plano inicial,2024-05-23 01:42:19,2024-05-23,,45,0
Suplementos,2024-06-30 18:45:36,2024-06-24,,111,1
Zonas,2024-06-24 00:57:01,2024-06-22,,180,2
Perguntas Abertas,2023-11-03 11:38:07,,,33,0
corrente,2024-04-25 01:01:47,2024-04-25,"Eletrônica
data",26,2
Current sink,2024-05-25 21:00:23,2024-05-25,"Eletrônica
data",19,2
Current source,2024-05-25 21:00:33,2024-05-25,"Eletrônica
data",19,2
Integração dos componentes,2024-04-19 23:40:16,,,59,6
Kirchhoff,2024-04-14 22:17:50,2024-04-14,"Eletrônica
data",27,2
lei de kirchhoff das tensões,2024-04-18 12:03:35,2024-04-14,"Eletrônica
data",29,3
lei de ohm,2024-04-14 21:41:23,2024-04-07,"Eletrônica
data",16,4
Metas,2024-05-29 23:44:56,,,85,7
ohms,2024-04-16 00:31:58,2024-04-16,"Eletrônica
data",31,1
Resistor de pull up,2024-05-27 21:27:00,2024-05-27,"Eletrônica
data",31,3
resistores de leds,2024-04-14 20:42:51,2024-04-08,"Eletrônica
data",242,15
Resistência,2024-04-18 12:09:30,2024-04-16,"Eletrônica
data",33,2
tenção,2024-04-25 00:50:38,2024-04-16,"Eletrônica
data",92,4
TRI-STATE,2024-05-25 20:51:45,2024-05-25,"Eletrônica
data",58,4
"CRISTAL OSCILADOR EXTERNO, POLLING Curso de PIC 005",2024-06-09 00:05:33,2024-04-28,Eletrônica,150,9
ENTRADAS DIGITAIS  Curso de PIC 004,2024-06-08 21:58:01,2024-04-28,"Eletrônica
data",187,19
"FUSÍVEIS, DATASHEET, SOFTWARE DE SIMULAÇÃO",2024-05-25 20:03:52,2024-04-28,"Eletrônica
data",378,24
GRAVANDO O PRIMEIRO PIC 12F675  Curso de PIC 003,2024-05-27 21:36:13,2024-04-28,Eletrônica,234,21
INTRODUÇÃO PIC16F84A Curso de PIC,2024-05-25 20:59:58,2024-04-28,Eletrônica,143,17
Bobina ou Indutor,2024-04-22 00:09:49,2024-04-17,"Eletrônica
data",145,24
Capacitor,2024-04-18 12:12:52,2024-04-17,"Eletrônica
data",120,19
Chaves com memória,2024-05-03 22:12:01,2024-05-03,"Eletrônica
data",41,1
Chaves Momentâneas,2024-05-03 22:05:09,2024-05-03,"Eletrônica
data",33,0
Chaves,2024-05-03 22:11:04,2024-05-03,"Eletrônica
data",49,6
componente,2024-07-15 01:09:02,2024-04-16,"Eletrônica
data",63,17
diodo,2024-05-03 21:40:00,2024-04-27,"Eletrônica
data",185,24
EEPROM,2024-05-27 20:20:37,2024-05-25,"Eletrônica
data",36,4
LED,2024-04-14 21:38:41,2024-04-09,"Eletrônica
data",20,2
Memória,2024-05-27 20:17:49,2024-05-27,"Eletrônica
data",44,10
Resistor,2024-05-08 00:19:33,2024-04-14,,79,18
Sensores,2024-05-09 01:08:36,2024-05-08,,114,9
Solda,2024-04-18 12:06:34,2024-04-16,"Eletrônica
data",101,5
Terra,2024-04-25 00:52:00,2024-04-25,"Eletrônica
data",53,1
Transistor,2024-05-03 23:43:12,2024-04-30,"Eletrônica
data",102,21
Comandos,2024-05-15 20:41:41,2024-05-15,,28,1
Pick devices,2024-05-27 21:39:21,2024-05-15,,40,8
Quais consigo fazer.,2024-08-05 02:19:45,2024-08-04,,30,6
Quais vou fazer,2024-08-27 20:34:35,2024-08-27,,11,1
Metas,2024-05-07 21:10:47,2024-05-07,,28,1
Papel alumínio,2024-05-07 23:53:41,2024-05-07,,68,5
PVC,2024-05-07 21:02:29,2024-05-07,,48,3
Super cola,2024-05-07 21:07:49,2024-05-07,"Maker
data",31,2
Coisas a fazer,2024-07-12 21:53:08,,,23,0
Exercicios,2024-09-05 18:05:24,2024-08-17,,281,3
Vida 1,2024-08-08 20:13:06,,,0,0
Acentuação,2024-09-21 23:16:08,,,237,9
Adjetivo,2023-11-02 10:40:21,,,3,0
Artigo,2023-11-02 10:34:00,,,134,9
Classe de palavras,2023-10-25 19:02:03,,,37,10
Classificação das consoantes,2023-10-06 10:40:36,,,35,4
Classificação das vogais,2023-09-28 23:15:23,,,34,4
Composição,2023-10-17 10:31:09,,,95,1
Dissílaba,2023-10-21 11:41:20,,,19,1
Ditongo,2023-10-02 10:17:31,,,99,10
dupla prosódia,2023-10-01 20:02:34,,,110,0
Dígrafo,2023-09-28 10:21:00,,,30,2
Dígrafos consonantais,2023-09-28 10:29:25,,,63,0
Dígrafos vocálicos,2023-09-28 10:20:54,,,52,0
Emprego do E,2023-10-14 10:48:52,,,105,3
Emprego do G,2023-10-14 10:29:02,,,95,1
Emprego do H,2024-04-24 00:35:46,,,243,8
Emprego do Hífen,2023-10-17 10:07:02,,,3,0
Emprego do I,2023-10-14 11:16:16,,,110,3
Emprego do J,2023-10-13 10:51:42,,,106,0
Emprego do S,2024-04-24 00:35:46,,,308,3
Emprego do SC,2024-04-24 00:35:46,,,179,5
Emprego do SS,2023-10-12 11:20:41,,,161,0
Emprego do X ou CH,2023-10-16 20:36:45,,,197,4
Emprego do XC,2023-10-17 09:46:12,,,68,1
Emprego do Z,2023-10-12 11:10:33,,,230,6
Emprego do Ç,2023-10-12 11:31:07,,,133,3
Encontros consonantais,2023-10-06 11:06:56,,,186,8
Encontros vocálicos,2023-10-02 10:29:11,,,24,4
Fonemas consonantais,2023-09-28 10:42:40,,,76,0
Fonemas vocálicos,2023-09-28 10:35:47,,,46,0
fonemas,2023-09-28 10:49:01,,,43,0
Fonologia,2023-09-28 10:20:51,,,10,1
Formas variante,2023-10-17 09:48:28,,,90,0
Formação de palavras,2024-05-05 00:17:41,,,114,9
Hiato,2023-10-06 23:27:43,,,23,2
Homônimos,2023-10-17 09:57:26,,,242,0
Interpretação x Compreender,2023-10-25 19:18:25,,,204,13
Monossílaba,2023-10-01 22:46:51,,,26,3
Nasal,2023-10-02 10:01:00,,,49,1
Oral,2023-10-02 09:59:47,,,28,1
Ortografia,2023-10-17 10:02:09,,,341,17
Ortoépia,2024-12-04 21:40:07,,,47,0
Oxítonas,2023-09-30 10:54:54,,,23,0
Palavras de uma mesma família,2023-10-14 11:18:11,,,70,0
Palavras derivadas,2023-10-14 10:03:32,,,0,0
Paroxítonas,2023-09-30 10:48:05,,,22,0
Parônimos,2023-10-17 09:55:27,,,290,0
Polissílaba,2023-09-28 23:45:04,,,28,1
prefixo,2023-10-14 10:48:55,,,0,0
Primeira leitura,2023-10-25 17:45:00,,,16,1
Proparoxítonas,2023-09-30 10:48:17,,,24,0
Prosódia,2023-10-01 20:11:54,,,178,6
Quanto ao papel,2023-09-28 23:18:20,,,62,0
Quanto ao timbre,2023-09-28 23:14:45,,,54,0
Quanto à intensidade,2023-09-28 23:21:16,,,33,0
Quanto à zona de articulação,2023-09-28 23:11:30,,,54,0
Segunda leitura,2023-10-25 17:52:44,,,20,7
Semivogal,2023-10-02 09:56:41,,,40,2
silabada,2023-10-01 19:47:27,,,18,1
Substantivo,2023-11-02 10:17:51,,,87,4
Sílaba tônica,2023-10-07 10:08:35,,,117,6
Sílaba,2023-09-30 10:19:18,,,82,7
Translineação,2023-10-06 10:47:09,,,578,22
Trissílaba,2023-09-28 23:44:14,,,21,1
Tritongo,2023-10-02 10:28:10,,,84,3
Tônicos,2023-10-01 22:53:04,,,24,0
Átonos,2023-10-01 22:50:47,,,25,0
Freela,2024-12-02 21:00:47,2024-12-02,,9,0
mineração de dado,2024-10-01 19:09:14,2024-10-01,DataAnalyst,55,0
Sites,2024-08-24 00:29:46,2024-08-24,,9,2
Geral,2024-08-31 01:17:01,2024-08-05,Datascience,86,17
Análise inicial do DF,2024-12-21 19:43:52,2024-12-21,,35,0
churn,2024-11-11 21:35:40,2024-11-11,DataAnalyst,42,0
Coeficiente de correlação linear,2024-12-18 00:36:32,2024-12-18,Gráfico,257,1
Engenharia de características,2024-12-28 15:51:57,2024-12-27,"Conceito
data",36,7
Importância do grafico,2024-12-05 18:58:41,2024-12-05,,40,1
Outliers,2024-12-21 19:36:55,2024-12-21,Estatística,26,0
Rotatividade,2024-11-11 21:23:20,2024-11-11,DataAnalyst,27,1
Sem título,2024-11-11 21:17:58,,,0,0
Avaliar fórmula,2024-09-12 00:17:13,2024-09-06,,18,0
DADADIF,2024-08-25 23:37:47,2024-08-25,"DataAnalyst
data",95,1
F4,2024-11-04 16:43:18,2024-11-04,"Comando
data",63,1
Função TEXTO,2024-09-12 00:16:39,2024-09-06,,160,1
Função.excel,2024-09-12 00:13:49,2024-08-25,,338,13
hlookup,2024-08-25 23:36:37,,,0,0
SE,2024-09-07 21:02:06,2024-08-25,"DataAnalyst
data",62,2
SEERRO,2024-09-12 00:22:57,2024-09-06,,59,0
Tabelas dinâmicas,2024-09-12 00:17:09,2024-09-07,,13,1
Variáveis no excel,2024-09-12 00:17:05,2024-09-06,,29,3
vlookup,2024-08-25 23:36:28,,,0,0
Acercamento,2024-09-12 16:09:15,2024-09-12,,42,2
Barras horizontais empilhadas,2024-09-12 00:18:21,2024-09-11,,18,1
Barras horizontais,2024-09-12 00:18:14,2024-09-11,,22,2
Barras verticais empilhadas,2024-09-12 00:18:03,2024-09-10,,59,3
Barras verticais,2024-09-12 00:17:57,2024-09-10,,25,1
Barras,2024-09-12 00:17:49,2024-09-10,,227,11
Causa e efeito,2024-12-17 20:38:20,2024-12-17,Gráfico,91,1
Conexão,2024-09-12 16:16:50,2024-09-12,,59,4
Continuidade,2024-09-12 16:14:45,2024-09-12,,54,2
Elementos de um Bom Gráfico,2024-12-17 20:38:10,2024-12-17,Gráfico,105,1
Exemplo de gráficos,2024-09-21 19:30:02,2024-09-13,"DataAnalyst
data",307,25
Fechamento,2024-09-12 16:13:07,2024-09-12,,61,3
Gráfico de cascata,2024-09-12 00:18:08,2024-09-10,,33,2
Gráfico de dispersão,2024-09-07 17:49:50,2024-09-07,,72,4
Gráfico de inclinaçao,2024-09-29 19:19:52,2024-09-29,,17,1
Gráfico de inclinação,2024-09-12 00:16:12,2024-09-10,,105,4
Gráfico de linhas,2024-09-12 00:16:06,2024-09-10,,29,2
Gráfico de Área,2024-09-11 18:18:18,2024-09-11,,36,2
Gráficos de dispersão,2024-12-18 19:34:52,2024-12-18,"Gráfico
data",112,4
Gráficos ruins,2024-12-17 21:00:36,2024-12-17,Gráfico,40,1
Histograma,2024-12-20 19:28:58,2024-12-18,"Gráfico
data",92,7
Linhas,2024-09-12 00:16:03,2024-09-07,,13,2
Mapa de calor,2024-09-07 17:42:25,2024-09-07,,41,2
Matrizes de dispersão,2024-12-18 23:37:14,2024-12-18,"Conceito
data",151,3
Pontos,2024-09-12 00:15:58,2024-09-07,,11,1
Princípios da Gestalt,2024-09-12 17:53:47,2024-09-12,,44,8
Proximidade,2024-09-12 16:06:07,2024-09-12,,54,2
Similaridade,2024-09-12 16:07:30,2024-09-12,,36,2
Sites,2024-09-30 15:31:31,2024-09-29,,57,1
Tabela,2024-09-12 00:23:19,2024-09-07,,66,2
Texto simples,2024-09-07 17:17:35,2024-09-07,,61,3
Uso de animação nos visuais apresentados,2024-09-26 16:29:10,2024-09-26,"DataAnalyst
data",34,1
Exemplo de postes,2024-12-06 20:46:00,2024-12-06,,281,3
linkedin,2024-09-04 01:10:30,2024-08-31,,58,2
Network,2024-09-21 23:33:01,2024-09-21,"Networking
data",217,0
perguntas,2024-10-16 00:05:31,,,224,0
Sem título,2024-10-16 00:49:25,,,466,0
Torne-se parceiro do contato,2024-09-18 22:55:13,2024-09-18,"Networking
data",65,0
Big Data 2.0,2024-10-02 16:07:41,2024-10-02,DataAnalyst,51,2
Big Data vx mineração de dados,2024-10-02 15:42:47,2024-10-02,DataAnalyst,49,2
correlações,2024-10-04 17:58:33,,,1544,0
Métodos Supervisionados vx Não Supervisionados,2024-10-07 17:49:42,2024-10-07,DataAnalyst,132,1
Porque não é manual mas,2024-10-05 20:48:20,2024-10-05,DataAnalyst,110,1
Publico,2024-10-05 20:38:38,2024-10-05,DataAnalyst,25,1
Storytelling,2024-09-25 18:30:35,2024-09-24,"DataAnalyst
data",370,6
Táticas,2024-09-25 19:00:43,2024-09-25,,167,9
Web 1.0 vx Web 2.0,2024-10-02 16:04:32,2024-10-02,"Programação
data",72,2
Glossário (data science para negocios),2024-10-29 00:25:31,2024-10-28,DataAnalyst,358,46
Palavras,2024-10-22 01:58:35,2024-10-22,,432,0
Perceptron e Aprendizado Supervisionado,2024-10-08 23:56:05,2024-10-08,DataAnalyst,667,0
Problemas básicos,2024-10-04 00:08:26,2024-10-04,,490,0
Problemas de Morfologia,2024-10-04 00:46:14,2024-10-04,DataAnalyst,1102,0
REsumo,2024-10-01 22:51:35,2024-10-01,"DataAnalyst
data",383,2
Abstração,2024-08-10 23:20:49,2024-08-10,Programação,74,3
Atributos,2024-11-14 22:01:16,2024-08-10,Programação,58,8
Classes,2024-08-10 22:25:59,2024-08-10,,104,5
Construtor,2024-10-13 00:26:12,2024-08-12,Programação,129,8
Instância,2024-08-10 21:17:09,2024-08-10,,64,3
Métodos,2024-08-16 00:18:33,2024-08-15,Python,19,4
Objetos,2024-08-10 21:19:04,2024-08-10,,16,1
Private,2024-08-13 23:40:57,2024-08-13,Programação,63,7
Programação Orientada a Objetos (POO),2024-08-16 00:26:05,2024-08-10,,308,17
Análise de E-commerce,2024-10-27 20:40:54,,,469,0
Atributo,2024-11-15 21:24:12,2024-11-14,Conceito,31,1
Composição p,2024-08-13 22:50:23,2024-08-13,POO,130,5
Instrução,2024-11-13 19:24:46,2024-11-13,"Conceito
data",51,20
Método,2024-11-13 19:25:11,2024-11-13,,102,37
Objetos são acessado por endereços,2024-08-12 20:55:24,2024-08-12,Python,148,2
Aula (10),2024-08-07 14:49:38,2024-08-06,,107,0
Aula (100),2024-08-08 19:29:39,2024-08-06,,275,0
Aula (101),2024-08-08 19:30:57,2024-08-06,,212,0
Aula (102),2024-08-08 19:33:00,2024-08-06,,208,0
Aula (103),2024-08-08 19:34:32,2024-08-06,,191,0
Aula (104),2024-08-08 19:36:43,2024-08-06,,179,1
Aula (105),2024-08-08 19:38:40,2024-08-06,,292,0
Aula (106),2024-08-08 19:51:51,2024-08-06,,233,1
Aula (11),2024-08-07 14:51:26,2024-08-06,,46,1
Aula (12),2024-08-07 14:55:45,2024-08-06,,81,0
Aula (13),2024-08-07 14:57:31,2024-08-06,,68,0
Aula (14),2024-08-07 14:58:54,2024-08-06,,61,0
Aula (15),2024-08-07 15:00:30,2024-08-06,,183,0
Aula (16),2024-08-07 15:02:19,2024-08-06,,108,0
Aula (17),2024-08-07 15:14:36,2024-08-06,,92,0
Aula (18),2024-08-07 15:17:58,2024-08-06,,132,0
Aula (19),2024-08-07 15:19:16,2024-08-06,,128,0
Aula (20),2024-08-07 15:21:02,2024-08-06,,119,0
Aula (21),2024-08-07 15:22:12,2024-08-06,,172,0
Aula (22),2024-08-07 15:25:07,2024-08-06,,163,0
Aula (23),2024-08-07 15:26:30,2024-08-06,,125,0
Aula (24),2024-08-07 15:28:21,2024-08-06,,99,0
Aula (25),2024-08-07 15:29:37,2024-08-06,,205,0
Aula (26),2024-08-07 16:51:15,2024-08-06,,195,0
Aula (27),2024-08-07 16:49:44,2024-08-06,,192,0
Aula (28),2024-08-06 16:35:42,2024-08-06,,7,0
Aula (29),2024-08-07 16:54:04,2024-08-06,,203,0
Aula (30),2024-09-12 00:20:01,2024-08-06,,108,0
Aula (31),2024-08-07 16:56:47,2024-08-06,,153,0
Aula (32),2024-08-07 16:57:44,2024-08-06,,176,0
Aula (33),2024-08-07 16:58:59,2024-08-06,,238,0
Aula (34),2024-08-07 17:01:03,2024-08-06,,200,0
Aula (35),2024-08-07 17:01:49,2024-08-06,,171,0
Aula (36),2024-08-07 17:17:09,2024-08-06,,306,0
Aula (37),2024-08-07 17:19:25,2024-08-06,,288,0
Aula (38),2024-08-07 17:20:53,2024-08-06,,177,0
Aula (39),2024-08-07 17:23:35,2024-08-06,,152,0
Aula (40),2024-08-07 17:25:48,2024-08-06,,230,0
Aula (41),2024-08-07 17:26:47,2024-08-06,,123,0
Aula (42),2024-08-06 16:35:42,2024-08-06,,7,0
Aula (43),2024-08-07 17:28:18,2024-08-06,,213,0
Aula (44),2024-08-07 17:29:37,2024-08-06,,256,0
Aula (45),2024-08-07 17:31:24,2024-08-06,,229,0
Aula (46),2024-08-07 17:32:51,2024-08-06,,143,0
Aula (47),2024-08-07 17:34:00,2024-08-06,,156,0
Aula (48),2024-08-07 17:35:31,2024-08-06,,181,0
Aula (49),2024-08-07 17:56:22,2024-08-06,,139,0
Aula (5),2024-08-06 18:16:34,2024-08-06,,170,0
Aula (50),2024-08-07 17:57:51,2024-08-06,,138,0
Aula (51),2024-08-07 17:59:54,2024-08-06,,191,0
Aula (52),2024-08-07 18:01:17,2024-08-06,,157,0
Aula (53),2024-08-07 18:11:05,2024-08-06,,110,0
Aula (54),2024-08-07 18:12:19,2024-08-06,,241,0
Aula (55),2024-08-07 18:13:13,2024-08-06,,205,0
Aula (56),2024-08-07 18:14:38,2024-08-06,,403,0
Aula (57),2024-08-07 18:27:55,2024-08-06,,76,0
Aula (58),2024-08-07 18:29:14,2024-08-06,,317,0
Aula (59),2024-08-07 18:31:42,2024-08-06,,482,0
Aula (6),2024-08-07 14:39:55,2024-08-06,,159,0
Aula (60),2024-08-07 18:33:16,2024-08-06,,213,0
Aula (61),2024-08-07 18:34:38,2024-08-06,,151,0
Aula (62),2024-08-07 18:35:56,2024-08-06,,260,0
Aula (63),2024-08-07 18:37:58,2024-08-06,,380,0
Aula (64),2024-08-07 18:39:46,2024-08-06,,169,0
Aula (65),2024-08-07 18:41:26,2024-08-06,,380,0
Aula (66),2024-08-07 18:43:36,2024-08-06,,154,0
Aula (67),2024-08-07 18:45:02,2024-08-06,,260,0
Aula (68),2024-08-07 18:47:15,2024-08-06,,333,0
Aula (69),2024-08-07 19:28:36,2024-08-06,,396,0
Aula (7),2024-08-07 14:42:47,2024-08-06,,115,0
Aula (70),2024-08-08 18:16:35,2024-08-06,,327,0
Aula (71),2024-08-08 18:17:41,2024-08-06,,253,0
Aula (72),2024-08-08 18:19:33,2024-08-06,,235,0
Aula (73),2024-08-08 18:21:23,2024-08-06,,225,0
Aula (74),2024-08-08 18:22:15,2024-08-06,,161,0
Aula (75),2024-08-08 18:23:22,2024-08-06,,226,0
Aula (76),2024-08-08 18:29:12,2024-08-06,,242,0
Aula (77),2024-08-08 18:32:36,2024-08-06,,224,0
Aula (78),2024-08-08 18:26:32,2024-08-06,,340,0
Aula (79),2024-08-08 18:33:37,2024-08-06,,400,0
Aula (8),2024-08-07 14:43:56,2024-08-06,,259,0
Aula (80),2024-08-08 18:41:16,2024-08-06,,300,0
Aula (81),2024-08-08 18:42:40,2024-08-06,,213,0
Aula (82),2024-08-08 18:45:06,2024-08-06,,259,0
Aula (83),2024-08-08 18:46:42,2024-08-06,,152,0
Aula (84),2024-08-08 18:48:28,2024-08-06,,406,0
Aula (85),2024-08-08 18:50:41,2024-08-06,,218,1
Aula (86),2024-08-08 18:52:00,2024-08-06,,252,1
Aula (87),2024-08-08 18:53:32,2024-08-06,,423,0
Aula (88),2024-08-08 18:56:37,2024-08-06,,483,0
Aula (89),2024-08-08 18:57:42,2024-08-06,,354,0
Aula (9),2024-08-07 14:45:05,2024-08-06,,95,0
Aula (90),2024-08-08 18:59:31,2024-08-06,,159,0
Aula (91),2024-08-08 19:17:32,2024-08-06,,293,0
Aula (92),2024-08-08 19:18:51,2024-08-06,,198,0
Aula (93),2024-08-08 19:20:03,2024-08-06,,418,0
Aula (94),2024-08-08 19:20:54,2024-08-06,,345,0
Aula (95),2024-08-08 19:22:01,2024-08-06,,476,0
Aula (96),2024-08-08 19:23:07,2024-08-06,,153,0
Aula (97),2024-08-08 19:24:37,2024-08-06,,99,0
Aula (98),2024-08-08 19:26:25,2024-08-06,,382,0
Aula (99),2024-08-08 19:28:43,2024-08-06,,297,0
Python Code for Finding the Successor of an Integer,2024-08-09 23:08:40,2024-08-06,,170,0
",get",2024-11-13 19:18:19,2024-11-13,Python,94,0
@atributo.setters e getters,2024-08-16 00:37:09,2024-08-15,POO,148,2
@property,2024-08-15 23:33:54,2024-08-15,Python,122,4
Argumento,2024-11-16 00:02:07,2024-11-15,Conceito,19,2
Decorador,2024-08-16 00:27:58,2024-08-15,Python,14,2
Função,2024-11-15 23:52:02,2024-11-14,Comando,15,3
Parâmetro,2024-11-16 00:03:55,2024-11-15,Conceito,47,2
pptint(),2024-08-26 01:20:22,2024-08-26,Programação,41,0
Private em python,2024-08-13 23:42:51,2024-08-13,Python,146,0
__dict__,2024-08-13 23:30:27,2024-08-13,Python,101,4
to int,2024-12-26 20:42:49,2024-12-26,"Conceito
data",55,6
",'hist'",2024-12-20 19:56:59,2024-12-20,,69,3
",bar",2024-12-29 23:11:10,2024-12-29,"Comando
data",117,0
",legend",2024-12-18 21:58:37,2024-12-18,"Comando
data",43,1
",plot",2024-12-17 22:55:08,2024-12-14,Gráfico,97,8
",scatter_matrix",2024-12-20 20:57:34,2024-12-20,"Comando
data",93,1
",show",2024-12-14 22:27:08,2024-12-14,Gráfico,17,0
",title=",2024-12-17 22:20:17,2024-12-14,Gráfico,24,1
",xlabel= or ,ylabel=",2024-12-17 22:51:42,2024-12-14,Gráfico,38,1
",xlim= e ,ylim=",2024-12-17 22:53:03,2024-12-14,"Gráfico
data",61,1
alpha=,2024-12-17 23:32:40,2024-12-17,"Comando
data",30,1
bind=,2024-12-20 19:33:10,2024-12-20,"Comando
data",6,0
figsize=,2024-12-17 22:59:43,2024-12-14,Gráfico,64,1
grid=,2024-12-14 21:52:04,2024-12-14,Gráfico,15,0
kind=,2024-12-17 23:35:50,2024-12-17,Gráfico,144,9
legend=,2024-12-17 23:02:38,2024-12-14,Gráfico,78,2
Marcador,2024-12-18 19:29:32,2024-12-14,Gráfico,549,1
rot=,2024-12-18 21:30:04,2024-12-18,,36,1
savefig(),2024-12-14 22:26:31,2024-12-14,Gráfico,9,0
x= e y=,2024-12-17 22:47:21,2024-12-14,Gráfico,51,0
array.shape,2024-08-19 20:08:18,2024-08-19,,43,0
",array_equal",2024-12-21 20:57:04,2024-12-21,"Comando
data",68,0
Comandos,2024-08-21 22:08:19,2024-08-19,Programação,236,0
01,2024-12-09 00:25:52,2024-12-08,,406,0
Agrupamento,2024-11-24 19:36:54,2024-11-24,Conceito,11,1
DataFrame X Series,2024-12-10 20:50:36,2024-12-10,"Conceito
data",34,1
DataFrame,2024-11-20 18:02:36,2024-08-21,Projetos,287,0
Duplicatas,2024-11-24 16:38:21,2024-11-24,,83,9
Filtragem condicional,2024-11-22 22:34:54,2024-11-22,,61,1
Indexação Booleana,2024-11-22 22:34:06,2024-11-18,Pandas,102,2
Máscara booleana,2024-11-22 23:43:54,2024-11-22,"Conceito
data",264,16
NaN,2024-12-21 19:34:06,2024-12-21,,19,0
Ordenar,2024-11-24 19:39:43,2024-11-24,Conceito,48,1
Pré-processamento de dados,2024-11-24 16:34:46,2024-11-20,"Conceito
data",76,3
Split Apply Combine,2024-12-28 19:53:45,2024-12-28,"Conceito
data",19,1
types,2024-11-14 22:24:11,2024-11-14,"Comando
data",95,4
Valores ausentes,2024-12-06 17:06:19,2024-11-20,Conceito,69,3
Window functions,2024-12-26 21:17:01,,,0,0
",agg",2024-12-28 20:37:09,2024-12-28,"Conceito
data",94,1
